,#Task,Step,numberOfAcceptedPeleSteps,currentEnergy,Binding Energy,sasaLig,RMSD_core,Processor
11,1,13,11,-6530.34,-29.9369,0.000524926,2.01875,16
12,1,15,12,-6528.74,-29.8532,0.0,1.75122,16
13,1,17,13,-6534.38,-29.5551,0.000787389,1.9916900000000002,16
14,1,18,14,-6536.31,-29.3436,0.0,1.8208400000000002,16
15,1,19,15,-6537.69,-29.1825,0.00148242,2.10118,16
16,1,20,16,-6538.32,-28.9811,0.000262463,1.7828099999999998,16
0,1,0,0,-6523.13,-21.5876,0.015584700000000002,1.63687,25
1,1,1,1,-6523.73,-21.7491,0.014898,1.64936,25
2,1,2,2,-6525.9,-21.5147,0.0160633,1.6739400000000002,25
3,1,3,3,-6528.06,-21.4481,0.015584700000000002,1.5979700000000001,25
4,1,4,4,-6527.08,-21.6123,0.0157928,1.61095,25
5,1,5,5,-6527.71,-21.1963,0.0151061,1.58886,25
6,1,6,6,-6525.33,-21.4509,0.014627600000000001,1.6073899999999999,25
7,1,9,7,-6529.06,-21.7452,0.013940899999999999,1.60337,25
8,1,13,8,-6531.43,-21.5006,0.0157928,1.5952,25
9,1,14,9,-6526.86,-21.0923,0.015376599999999999,1.67179,25
10,1,15,10,-6523.52,-21.2878,0.015438999999999998,1.70508,25
11,1,16,11,-6524.79,-20.9765,0.0177071,1.70111,25
12,1,19,12,-6523.12,-21.4476,0.0129214,1.69733,25
0,1,0,0,-6534.21,-20.6658,0.015053200000000001,1.49291,21
1,1,1,1,-6535.15,-21.2594,0.0125827,1.54379,21
2,1,3,2,-6536.75,-21.9684,0.0128549,1.6651799999999999,21
3,1,5,3,-6535.86,-21.0541,0.0111381,1.56526,21
4,1,6,4,-6536.6,-21.415,0.0133364,1.6936900000000001,21
5,1,9,5,-6538.51,-21.5585,0.0121012,1.6235,21
6,1,11,6,-6538.75,-22.0073,0.013064300000000001,1.61927,21
7,1,12,7,-6537.31,-22.0237,0.0121012,1.60099,21
8,1,13,8,-6538.84,-21.7375,0.011829000000000001,1.60519,21
9,1,14,9,-6538.73,-21.9646,0.011829000000000001,1.55558,21
10,1,15,10,-6539.73,-22.0523,0.0125827,1.5626,21
11,1,19,11,-6534.86,-21.1278,0.0106566,1.55292,21
0,1,0,0,-6540.99,-28.9682,0.0,1.86168,1
1,1,1,1,-6545.36,-29.6629,0.000962947,1.7126700000000001,1
2,1,2,2,-6548.07,-29.7762,0.0006926980000000001,1.7374900000000002,1
3,1,3,3,-6549.37,-30.3017,0.0006926980000000001,1.83293,1
4,1,4,4,-6547.94,-30.1296,0.00157954,1.6214,1
5,1,5,5,-6548.55,-29.846999999999998,0.00034634900000000003,1.66418,1
6,1,7,6,-6550.04,-30.2569,0.0006926980000000001,1.93472,1
7,1,11,7,-6549.63,-29.8322,0.00034634900000000003,1.6523900000000002,1
8,1,12,8,-6551.5,-29.7494,0.000616598,1.93772,1
9,1,15,9,-6548.55,-30.0912,0.00034634900000000003,1.8476,1
10,1,16,10,-6546.63,-30.215999999999998,0.000962947,1.66875,1
11,1,17,11,-6545.35,-29.6742,0.000616598,1.62648,1
12,1,18,12,-6545.7,-29.9225,0.000962947,1.6614400000000002,1
13,1,19,13,-6548.48,-30.118000000000002,0.0,1.83178,1
14,1,20,14,-6547.96,-30.1862,0.00034634900000000003,1.8847900000000002,1
0,1,0,0,-6517.44,-29.1626,0.0,1.79938,29
1,1,1,1,-6517.39,-29.9324,0.000262612,1.9066,29
2,1,2,2,-6518.99,-29.8705,0.0,1.7538900000000002,29
3,1,3,3,-6518.5,-29.8037,0.0,1.92547,29
4,1,4,4,-6517.52,-29.956999999999997,0.000525224,2.0420599999999998,29
5,1,5,5,-6521.71,-30.0886,0.0,1.92507,29
6,1,6,6,-6521.48,-29.6205,0.0,1.79026,29
7,1,7,7,-6522.07,-29.9094,0.0,1.7647400000000002,29
8,1,13,8,-6522.3,-29.9425,0.0,1.8096700000000001,29
9,1,18,9,-6520.01,-29.6317,0.0,1.7387099999999998,29
10,1,19,10,-6517.99,-29.406999999999996,0.00034695699999999995,1.85485,29
0,1,0,0,-6517.14,-29.8722,0.0,1.84569,18
1,1,3,1,-6514.46,-29.4906,0.000524926,1.9907099999999998,18
2,1,5,2,-6517.5,-29.7208,0.0,1.7145299999999999,18
3,1,6,3,-6517.55,-29.8744,0.0,1.95386,18
4,1,7,4,-6515.34,-29.7258,0.0,1.83581,18
5,1,8,5,-6517.06,-29.7161,0.0,1.93113,18
6,1,13,6,-6516.62,-29.9169,0.0,1.75527,18
7,1,14,7,-6516.27,-29.7688,0.0,1.8102599999999998,18
8,1,15,8,-6520.97,-29.7739,0.00034676,1.7076799999999999,18
9,1,16,9,-6518.2,-29.555,0.0,1.8195,18
10,1,17,10,-6517.94,-30.1644,0.0,1.6795,18
0,1,0,0,-6538.63,-29.4158,0.0009622910000000001,1.89163,45
1,1,1,1,-6540.62,-29.4893,0.00034611300000000005,1.8681599999999998,45
2,1,2,2,-6541.81,-29.4146,0.0009622910000000001,1.91925,45
3,1,3,3,-6540.52,-29.766,0.00138445,1.87031,45
4,1,6,4,-6541.26,-29.8801,0.00157847,1.7298,45
5,1,7,5,-6541.9,-30.429000000000002,0.00034611300000000005,2.08748,45
6,1,9,6,-6542.67,-30.1279,0.00103834,1.8565599999999998,45
7,1,10,7,-6542.39,-30.5832,0.0006922260000000001,1.95625,45
8,1,13,8,-6543.62,-30.471,0.00034611300000000005,1.7543099999999998,45
9,1,14,9,-6544.42,-30.3176,0.00108594,2.0415900000000002,45
10,1,15,10,-6541.46,-29.9426,0.0006922260000000001,1.74144,45
11,1,16,11,-6540.18,-30.0522,0.00138445,1.79699,45
12,1,17,12,-6541.02,-29.7397,0.0013084000000000001,1.68546,45
13,1,18,13,-6540.68,-30.0606,0.00103834,1.83768,45
14,1,19,14,-6541.31,-30.1477,0.00157847,1.62632,45
