,#Task,Step,numberOfAcceptedPeleSteps,currentEnergy,Binding Energy,sasaLig,RMSD_core,Processor
2,1,2,2,-6540.9,-30.9618,0.00180335,1.19591,18
3,1,3,3,-6537.37,-30.5418,0.00206097,1.18655,18
4,1,4,4,-6537.43,-31.3298,0.00231859,1.3933200000000001,18
5,1,5,5,-6537.83,-30.4984,0.00359897,1.23756,18
6,1,6,6,-6542.2,-30.8677,0.00206097,1.43045,18
7,1,7,7,-6541.9,-31.1834,0.0012881,1.4340600000000001,18
8,1,8,8,-6542.74,-30.688000000000002,0.00154572,1.2783799999999998,18
9,1,9,9,-6545.76,-31.7785,0.00206097,1.4477,18
10,1,10,10,-6546.25,-31.2508,0.00206097,1.35922,18
11,1,12,11,-6544.65,-31.2605,0.00180335,1.21809,18
12,1,13,12,-6544.01,-30.6433,0.0012881,1.03099,18
13,1,14,13,-6543.14,-32.167,0.00154572,1.38473,18
14,1,20,14,-6541.25,-31.0084,0.00154572,1.15065,18
0,1,0,0,-6525.33,-27.8292,0.0009071810000000001,2.6128299999999998,45
1,1,3,1,-6525.47,-28.0123,0.0008215789999999999,2.23641,45
2,1,11,2,-6527.01,-27.9859,0.0,2.41024,45
3,1,16,3,-6528.35,-28.4782,0.000453591,2.67159,45
0,1,0,0,-6531.53,-29.693,0.00490745,1.24282,32
1,1,9,1,-6532.34,-29.0845,0.00542402,1.14954,32
2,1,10,2,-6531.52,-30.22,0.00568231,1.31095,32
3,1,11,3,-6529.43,-28.9039,0.00619888,1.00385,32
4,1,13,4,-6533.11,-29.3201,0.00568231,1.10953,32
5,1,14,5,-6536.77,-32.1317,0.0038743000000000002,1.27692,32
6,1,15,6,-6537.31,-32.0228,0.00411711,1.28106,32
7,1,16,7,-6535.79,-31.179000000000002,0.00496768,1.37764,32
8,1,18,8,-6534.59,-24.8722,0.00902284,0.925426,32
9,1,19,9,-6533.01,-25.2142,0.00888841,0.726727,32
10,1,20,10,-6534.48,-25.0468,0.010982500000000001,0.784864,32
0,1,0,0,-6514.86,-24.0999,0.00313951,0.9198719999999999,5
1,1,1,1,-6516.5,-24.7572,0.00322724,0.817032,5
2,1,5,2,-6517.28,-24.6611,0.00278582,0.77204,5
3,1,9,3,-6517.66,-24.3867,0.00289033,0.882545,5
4,1,10,4,-6520.72,-24.6731,0.00264114,0.664493,5
5,1,11,5,-6521.13,-24.694000000000003,0.00341179,0.6216689999999999,5
6,1,12,6,-6523.61,-24.7669,0.00212738,0.622737,5
7,1,13,7,-6524.36,-25.1866,0.00238426,0.633849,5
8,1,15,8,-6519.29,-25.9486,0.00271348,0.5900810000000001,5
0,1,0,0,-6529.46,-30.5504,0.00968533,1.55003,30
1,1,4,1,-6532.54,-31.6494,0.00770788,1.40167,30
2,1,9,2,-6534.21,-32.0183,0.00500913,1.42115,30
3,1,10,3,-6537.06,-32.0426,0.00439329,1.42736,30
4,1,11,4,-6539.49,-31.8358,0.00514535,1.35827,30
