,#Task,Step,numberOfAcceptedPeleSteps,currentEnergy,Binding Energy,sasaLig,RMSD_core,Processor
1,1,1,1,-6534.36,-27.0521,0.000977345,1.6956900000000001,1
2,1,2,2,-6535.56,-26.6911,0.000297826,1.7092900000000002,1
3,1,3,3,-6537.49,-26.8832,0.0008845560000000001,1.82067,1
4,1,5,4,-6536.49,-26.6235,0.00118238,1.8203799999999999,1
5,1,7,5,-6537.73,-26.7068,0.000595653,1.78928,1
6,1,9,6,-6538.57,-26.8855,0.000526974,1.90885,1
7,1,14,7,-6536.92,-27.1955,0.00105395,2.09413,1
8,1,15,8,-6536.73,-27.3923,0.000526974,2.23611,1
9,1,16,9,-6537.68,-27.1325,0.00135178,2.22247,1
10,1,18,10,-6536.33,-26.471,0.00105395,2.1863200000000003,1
11,1,19,11,-6533.53,-27.1609,0.000815878,2.13151,1
12,1,20,12,-6536.21,-27.1109,0.000586729,1.94032,1
0,1,0,0,-6539.45,-25.9262,0.000886938,1.6299299999999999,29
1,1,2,1,-6538.5,-25.8726,0.0034530999999999997,1.65255,29
2,1,5,2,-6538.49,-25.7371,0.000895885,1.69377,29
3,1,6,3,-6537.94,-25.6582,0.0013627000000000001,1.85012,29
4,1,7,4,-6538.3,-26.035999999999998,0.00149314,1.72232,29
5,1,9,5,-6538.71,-26.3214,0.00224069,1.8446099999999999,29
6,1,10,6,-6537.66,-26.5188,0.0007654410000000001,1.8102200000000002,29
7,1,11,7,-6539.49,-26.7006,0.000979977,1.9348299999999998,29
8,1,12,8,-6538.77,-26.6676,0.0006813489999999999,2.09079,29
9,1,13,9,-6538.31,-26.5815,0.000298628,1.94302,29
10,1,14,10,-6538.46,-26.4697,0.000895885,1.90376,29
11,1,15,11,-6536.7,-26.3356,0.000597257,1.81407,29
12,1,16,12,-6536.78,-26.6644,0.00058831,1.95563,29
13,1,17,13,-6539.15,-26.6752,0.00156829,1.86307,29
14,1,18,14,-6539.61,-26.4282,0.00058831,1.6503700000000001,29
15,1,19,15,-6538.93,-26.7375,0.000597257,1.78194,29
16,1,20,16,-6540.27,-26.546999999999997,0.000886938,1.7331299999999998,29
0,1,0,0,-6539.53,-26.4764,0.00269344,2.48116,18
1,1,1,1,-6539.94,-26.4843,0.00282644,2.33042,18
2,1,2,2,-6538.8,-26.5207,0.00427552,2.2058,18
3,1,4,3,-6536.79,-26.6828,0.00457579,2.30796,18
4,1,5,4,-6536.77,-25.7892,0.00319843,2.06576,18
5,1,6,5,-6542.03,-26.8025,0.00312671,2.24112,18
6,1,7,6,-6541.53,-26.8304,0.00342698,2.2284900000000003,18
7,1,11,7,-6539.15,-26.5767,0.00312671,2.3555099999999998,18
8,1,13,8,-6539.74,-26.6874,0.00409924,2.1796900000000003,18
9,1,15,9,-6540.94,-26.7561,0.00391398,2.30083,18
10,1,17,10,-6542.06,-26.5403,0.00281744,2.32131,18
11,1,18,11,-6540.56,-26.7697,0.00295043,2.11344,18
12,1,19,12,-6543.06,-26.8007,0.00252616,2.12258,18
13,1,20,13,-6542.16,-26.6904,0.00264117,2.25894,18
0,1,0,0,-6539.66,-20.6817,0.0142585,1.09615,45
1,1,3,1,-6535.06,-20.1537,0.014328299999999999,1.35189,45
2,1,4,2,-6539.59,-21.653000000000002,0.012551399999999999,1.04728,45
3,1,6,3,-6541.87,-21.7092,0.013889400000000001,0.9320129999999999,45
4,1,7,4,-6543.76,-21.8693,0.0122741,0.780507,45
5,1,8,5,-6544.68,-21.7131,0.0131739,0.790489,45
6,1,10,6,-6543.66,-21.9743,0.011420200000000002,0.742146,45
7,1,13,7,-6544.13,-21.6516,0.0108895,0.73841,45
8,1,14,8,-6544.11,-21.5097,0.0115585,0.724747,45
9,1,15,9,-6543.46,-21.5802,0.0108895,0.772678,45
10,1,16,10,-6544.38,-21.5542,0.0111203,0.776127,45
11,1,17,11,-6542.18,-21.7103,0.0125049,0.780308,45
12,1,19,12,-6544.46,-22.2775,0.0129664,0.836313,45
0,1,0,0,-6535.86,-25.9392,0.00307523,1.95297,32
1,1,1,1,-6536.09,-26.9126,0.0023928,1.9865,32
2,1,5,2,-6533.38,-26.4495,0.002991,2.05884,32
3,1,6,3,-6535.14,-26.2971,0.00281542,1.8390099999999998,32
4,1,7,4,-6534.28,-25.9695,0.00349784,2.01373,32
5,1,13,5,-6533.77,-26.0747,0.002991,2.08026,32
6,1,15,6,-6532.0,-25.9964,0.00298204,2.27296,32
7,1,16,7,-6532.09,-26.2867,0.00328114,2.21504,32
8,1,17,8,-6528.04,-26.3433,0.00297308,2.45816,32
9,1,19,9,-6525.33,-26.3509,0.00404946,2.7277,32
